Years,States,Total women with births,Birth rate,General fertility rate,Total fertility rate,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Percent of women in labor force,Teenage pregnancy,Teenage birth Rate
2013,Oregon,47752,12.3,52.0,1.87,158173,185370,335517,163171,76354,72.5,2202,17
2013,Pennsylvania,148166,11.6,49.3,1.78,460251,795446,913660,557674,275707,73.2,8918,19
2013,Rhode Island,12054,11.5,46.0,1.66,41253,54056,91703,50292,24789,76.2,713,18
2013,South Carolina,63460,13.6,56.0,2.01,201422,270461,405044,176638,80590,72,4969,28
2013,South Dakota,12365,15.0,66.1,2.38,30280,40084,69639,35936,11241,79.4,644,24
2013,Tennessee,91077,14.2,58.3,2.10,268682,425773,506925,249406,112021,70.4,6635,30
2013,Texas,402540,15.7,62.2,2.24,1470195,1424082,2090888,1071173,410963,68.3,34642,34
2013,Utah,53252,18.9,75.5,2.72,119004,145181,283216,123441,34368,68.8,1939,15
2013,Vermont,6025,9.6,41.0,1.48,18477,33241,49172,31373,14635,77.3,299,11
2013,Virginia,108455,13.4,53.3,1.92,306003,412797,649679,430182,237614,73.5,5148,17
2013,Washington,91014,13.3,54.9,1.98,276422,329867,594094,314691,142424,71.3,3879,16
2013,West Virginia,19449,10.5,46.3,1.67,73547,128724,139311,53630,25190,64.8,1520,23
2013,Wisconsin,71034,12.4,52.7,1.90,204154,304779,488006,253506,98479,79.2,3336,14
2013,Wyoming,7750,13.6,59.2,2.13,18923,29602,53879,20427,8075,74.7,453,21
2013,Puerto Rico,38620,10.5,42.1,1.51,179860,201225,294206,183905,59085,56.4,4876,34
2012,United States,4278307,13.8,56.1,2.02,14016817,16966383,25376555,13643879,6276730,72.1,274252,26
2012,Alabama,68685,14.4,58.6,2.11,230802,285576,413332,168712,73389,68.8,5183,32
2012,Alaska,12696,17.9,72.1,2.60,28476,41602,65182,29161,11686,73.6,599,24
2012,Arizona,91202,14.2,59.7,2.15,328655,322636,544489,231951,99066,69.2,7106,32
2012,Arkansas,39227,13.5,56.4,2.03,134032,192994,241376,91216,35337,69.5,3366,34
2012,California,531999,14.3,55.9,2.01,2181125,1800121,3075364,1699853,753773,68.4,31766,24
2012,Colorado,72246,14.3,57.6,2.07,208592,231149,411426,280621,122748,74.7,4234,26
2012,Connecticut,42449,11.9,48.6,1.75,133167,181933,265247,181279,110961,76.1,1965,16
2012,Delaware,11365,12.6,51.3,1.85,37057,53767,72338,38744,19786,74.5,426,14
2012,District of Columbia,7740,12.8,41.8,1.51,22826,29672,42289,46193,44094,75.1,524,23
2012,Florida,225145,11.9,50.8,1.83,779177,1097150,1526339,726690,303270,72.7,13453,23
2012,Georgia,148010,15.2,58.8,2.12,479495,589694,812873,428820,207641,70.2,10303,30
2012,Hawaii,20587,15.1,64.4,2.32,40174,79909,114067,61288,24202,73.7,1166,29
2012,Idaho,26309,16.8,71.3,2.57,65226,88882,140030,57699,17318,70.6,1392,25
2012,Illinois,175076,13.7,54.7,1.97,558227,653212,1025010,649861,314847,73.9,11384,26
2012,Indiana,89519,13.8,56.9,2.05,296049,401859,535959,251569,89089,73.1,6370,28
2012,Iowa,41795,13.7,58.9,2.12,106390,143307,281476,133682,44256,79.9,2101,20
2012,Kansas,43522,15.3,64.4,2.32,113894,133006,243376,132298,53425,76.5,2562,26
2012,Kentucky,58935,13.6,56.1,2.02,188182,273427,369523,142716,76775,70,4663,33
